magic;symbol;type;time_open;time_close;price_open;price_close;profit;volume;swap;commission;comment
20250811;XAUUSD;1;1579101338;1579101338;1548.21000;1548.21000;-88.37;0.18;0.00;0.00;sl 1548.24
20250811;XAUUSD;1;1582049327;1582049327;1602.11000;1602.11000;462.13;0.18;-6.27;0.00;tp 1601.87
20250811;XAUUSD;1;1582794252;1582794252;1646.66000;1646.66000;-90.52;0.17;0.00;0.00;sl 1646.69
20250811;XAUUSD;1;1587566172;1587566172;1696.98000;1696.98000;-94.72;0.17;0.00;0.00;sl 1697.08
20250811;XAUUSD;1;1588261291;1588261291;1706.24000;1706.24000;-94.67;0.17;0.00;0.00;sl 1706.30
20250811;XAUUSD;1;1588606251;1588606251;1698.81000;1698.81000;-101.03;0.17;0.00;0.00;sl 1699.34
20250811;XAUUSD;1;1592320746;1592320746;1723.54000;1723.54000;-93.68;0.17;0.00;0.00;sl 1723.72
20250811;XAUUSD;1;1592844425;1592844425;1761.06000;1761.06000;458.03;0.17;-1.92;0.00;tp 1761.06
20250811;XAUUSD;1;1594699217;1594699217;1796.99000;1796.99000;-90.53;0.16;-1.78;0.00;sl 1797.10
20250811;XAUUSD;1;1597686088;1597686088;1987.98000;1987.98000;432.04;0.15;0.00;0.00;tp 1987.96
20250811;XAUUSD;1;1600686197;1600686197;1946.70000;1946.70000;-86.76;0.15;0.00;0.00;sl 1946.70
20250811;XAUUSD;0;1603814523;1603814523;1908.34000;1908.34000;-89.98;0.15;0.00;0.00;sl 1907.89
20250811;XAUUSD;0;1603983334;1603983334;1863.27000;1863.27000;425.30;0.15;-1.76;0.00;tp 1863.27
20250811;XAUUSD;0;1606154747;1606154747;1833.57000;1833.57000;415.44;0.15;0.00;0.00;tp 1833.63
20250811;XAUUSD;1;1609161892;1609161892;1875.42000;1875.42000;-2.33;0.15;-1.55;0.00;sl 1875.61
20250811;XAUUSD;0;1612453475;1612453475;1809.98000;1809.98000;430.33;0.16;-2.44;0.00;tp 1809.98
20250811;XAUUSD;1;1618581318;1618581318;1776.18000;1776.18000;407.59;0.16;-1.68;0.00;tp 1776.18
20250811;XAUUSD;1;1620152077;1620152077;1777.73000;1777.73000;-0.13;0.16;-1.67;0.00;sl 1777.74
20250811;XAUUSD;1;1621275701;1621275701;1865.40000;1865.40000;422.63;0.16;-1.66;0.00;tp 1865.39
20250811;XAUUSD;0;1624898249;1624898249;1782.28000;1782.28000;-83.49;0.16;0.00;0.00;sl 1782.28
20250811;XAUUSD;1;1630072896;1630072896;1793.65000;1793.65000;-85.73;0.16;0.00;0.00;sl 1793.65
20250811;XAUUSD;0;1632398982;1632398982;1770.39000;1770.39000;-84.32;0.16;0.00;0.00;sl 1770.38
20250811;XAUUSD;0;1633532856;1633532856;1757.25000;1757.25000;-84.99;0.16;0.00;0.00;sl 1757.25
20250811;XAUUSD;1;1634922583;1634922583;1810.26000;1810.26000;427.83;0.16;-6.92;0.00;tp 1810.25
20250811;XAUUSD;1;1635442529;1635442529;1793.32000;1793.32000;-86.62;0.16;0.00;0.00;sl 1793.34
20250811;XAUUSD;1;1635519719;1635519719;1792.00000;1792.00000;-86.54;0.16;0.00;0.00;sl 1792.01
20250811;XAUUSD;1;1635869283;1635869283;1787.83000;1787.83000;-86.73;0.16;0.00;0.00;sl 1787.83
20250811;XAUUSD;1;1642497243;1642497243;1815.02000;1815.02000;-89.44;0.16;-1.77;0.00;sl 1815.02
20250811;XAUUSD;0;1643804259;1643804259;1803.07000;1803.07000;-89.09;0.16;0.00;0.00;sl 1803.07
20250811;XAUUSD;0;1651510202;1651510202;1855.54000;1855.54000;471.36;0.15;0.00;0.00;tp 1855.56
20250811;XAUUSD;0;1651838848;1651838848;1883.39000;1883.39000;-93.48;0.15;0.00;0.00;sl 1883.38
20250811;XAUUSD;0;1652208881;1652208881;1842.16000;1842.16000;467.37;0.15;-0.65;0.00;tp 1842.17
20250811;XAUUSD;0;1655830961;1655830961;1840.73000;1840.73000;-97.29;0.16;0.00;0.00;sl 1840.73
20250811;XAUUSD;0;1656002729;1656002729;1839.21000;1839.21000;-97.46;0.16;0.00;0.00;sl 1839.21
20250811;XAUUSD;0;1657040867;1657040867;1769.56000;1769.56000;491.73;0.16;0.00;0.00;tp 1769.56
20250811;XAUUSD;1;1659714601;1659714601;1770.84000;1770.84000;-0.16;0.16;-1.97;0.00;sl 1770.85
20250811;XAUUSD;1;1660304051;1660304051;1787.07000;1787.07000;-97.61;0.16;0.00;0.00;sl 1787.07
20250811;XAUUSD;0;1664164779;1664164779;1628.18000;1628.18000;516.11;0.17;-0.81;0.00;tp 1628.20
20250811;XAUUSD;0;1667293894;1667293894;1649.72000;1649.72000;-0.34;0.17;-1.57;0.00;sl 1649.70
20250811;XAUUSD;1;1669738865;1669738865;1749.21000;1749.21000;-95.25;0.16;0.00;0.00;sl 1749.22
20250811;XAUUSD;1;1671738099;1671738099;1793.14000;1793.14000;0.00;0.16;-7.60;0.00;sl 1793.14
20250811;XAUUSD;1;1672222465;1672222465;1806.62000;1806.62000;-0.15;0.16;-3.79;0.00;sl 1806.63
20250811;XAUUSD;1;1672722510;1672722510;1840.73000;1840.73000;474.48;0.16;-3.77;0.00;tp 1840.73
20250811;XAUUSD;1;1674066713;1674066713;1907.74000;1907.74000;-92.89;0.15;0.00;0.00;sl 1907.74
20250811;XAUUSD;1;1674493759;1674493759;1912.70000;1912.70000;0.00;0.15;-3.49;0.00;sl 1912.70
20250811;XAUUSD;1;1675329279;1675329279;1959.53000;1959.53000;459.20;0.15;-5.16;0.00;tp 1959.53
20250811;XAUUSD;0;1676996798;1676996798;1841.94000;1841.94000;-96.29;0.16;0.00;0.00;sl 1841.94
20250811;XAUUSD;1;1682419419;1682419419;1987.80000;1987.80000;-88.88;0.14;0.00;0.00;sl 1987.82
20250811;XAUUSD;1;1690473878;1690473878;1956.40000;1956.40000;-93.30;0.15;-5.11;0.00;sl 1956.40
20250811;XAUUSD;0;1692031722;1692031722;1903.22000;1903.22000;467.66;0.15;-4.41;0.00;tp 1903.23
20250811;XAUUSD;1;1699293460;1699293460;1981.66000;1981.66000;-91.23;0.14;-1.64;0.00;sl 1981.70
20250811;XAUUSD;1;1704204221;1704204221;2066.16000;2066.16000;-93.17;0.14;0.00;0.00;sl 2066.20
20250811;XAUUSD;1;1713461729;1713461729;2371.72000;2371.72000;-93.79;0.12;0.00;0.00;sl 2371.72
20250811;XAUUSD;0;1714750230;1714750230;2310.01000;2310.01000;-90.96;0.12;-0.51;0.00;sl 2309.89
20250811;XAUUSD;0;1715174591;1715174591;2315.37000;2315.37000;-90.40;0.12;0.00;0.00;sl 2315.35
20250811;XAUUSD;0;1718724637;1718724637;2319.30000;2319.30000;-90.95;0.12;0.00;0.00;sl 2319.26
20250811;XAUUSD;1;1720720233;1720720233;2413.56000;2413.56000;457.95;0.12;-4.19;0.00;tp 2413.55
20250811;XAUUSD;1;1721854949;1721854949;2407.92000;2407.92000;-93.62;0.12;0.00;0.00;sl 2407.92
20250811;XAUUSD;1;1723845052;1723845052;2505.32000;2505.32000;469.32;0.12;0.00;0.00;tp 2505.32
20250811;XAUUSD;1;1724945443;1724945443;2510.16000;2510.16000;-88.15;0.11;0.00;0.00;sl 2510.22
20250811;XAUUSD;1;1725649565;1725649565;2495.83000;2495.83000;-87.09;0.11;-1.25;0.00;sl 2495.83
20250811;XAUUSD;1;1726159535;1726159535;2550.12000;2550.12000;446.21;0.11;-5.04;0.00;tp 2550.11
20250811;XAUUSD;1;1726159535;1726159535;2550.12000;2550.12000;437.14;0.11;-5.04;0.00;tp 2550.11
20250811;XAUUSD;1;1726692639;1726692639;2567.35000;2567.35000;-89.16;0.11;0.00;0.00;sl 2567.35
20250811;XAUUSD;1;1726760139;1726760139;2582.96000;2582.96000;-89.79;0.11;0.00;0.00;sl 2582.98
20250811;XAUUSD;0;1733144511;1733144511;2637.78000;2637.78000;-96.19;0.11;0.00;0.00;sl 2637.78
20250811;XAUUSD;1;1736530143;1736530143;2694.99000;2694.99000;496.72;0.11;-6.72;0.00;tp 2694.98
20250811;XAUUSD;1;1737055563;1737055563;2722.97000;2722.97000;499.57;0.11;-4.04;0.00;tp 2722.97
20250811;XAUUSD;1;1740504265;1740504265;2912.61000;2912.61000;-0.86;0.10;-8.44;0.00;sl 2912.70
20250811;XAUUSD;1;1746506194;1746506194;3366.78000;3366.78000;463.18;0.09;-1.00;0.00;tp 3366.59
20250811;XAUUSD;0;1747616400;1747616400;3219.84000;3219.84000;-84.13;0.09;-0.37;0.00;sl 3209.40
20250811;XAUUSD;1;1748882700;1748882700;3367.00000;3367.00000;457.15;0.09;0.00;0.00;tp 3366.92
20250811;XAUUSD;1;1749650663;1749650663;3328.14000;3328.14000;-92.22;0.09;0.00;0.00;sl 3328.17
20250811;XAUUSD;1;1753199755;1753199755;3406.23000;3406.23000;451.09;0.09;-1.95;0.00;tp 3406.20
20250811;XAUUSD;0;1755882003;1755882003;3342.56000;3342.56000;-110.06;0.09;0.00;0.00;sl 3340.01
